source,judge_provider,dimension,n,mean_api_minus_expert,median_api_minus_expert,mean_abs_gap,sd_gap
api_single_judge,gemini,cc,180,-1.5629629629629629,-1.0,1.7129629629629628,1.594640655203834
api_single_judge,gemini,lc,180,-0.6185185185185185,0.33333333333333326,1.5685185185185184,1.9693089664564793
api_single_judge,gemini,tf,180,-1.0398148148148147,-0.33333333333333304,1.6824074074074074,1.947826932936587
api_single_judge,gemini,mq,180,-0.6277777777777778,0.0,1.6592592592592594,1.9949579523221057
api_single_judge,gemini,risk,180,-0.16759259259259257,-0.33333333333333326,0.7935185185185184,1.1212214594856442
api_single_judge,glm,fa,180,-1.3111111111111111,-1.0,1.7703703703703704,1.8678733795777809
api_single_judge,glm,cc,180,-1.8518518518518516,-1.666666666666667,1.987037037037037,1.5003505579282572
api_single_judge,glm,lc,180,-0.7740740740740739,0.3333333333333335,1.6962962962962962,2.0403762860432124
api_single_judge,glm,tf,180,-1.2453703703703702,-1.0,1.8398148148148146,1.9258790471224079
api_single_judge,glm,mq,180,-1.2333333333333334,-1.1666666666666665,1.859259259259259,1.8980534967039504
api_single_judge,glm,risk,180,-0.2231481481481481,-0.33333333333333315,0.7990740740740739,1.0687369180034165
api_single_judge,kimi,fa,180,-1.4666666666666666,-1.333333333333333,1.7648148148148148,1.718143585533235
api_single_judge,kimi,cc,180,-1.9351851851851851,-1.666666666666667,1.9962962962962965,1.3635301348269797
api_single_judge,kimi,lc,180,-0.735185185185185,0.0,1.5814814814814813,1.8707282303979178
api_single_judge,kimi,tf,180,-1.2509259259259258,-1.0,1.7287037037037034,1.8370537181033826
api_single_judge,kimi,mq,180,-0.9944444444444445,-1.0,1.7703703703703708,1.905096239612314
api_single_judge,kimi,risk,180,0.004629629629629658,0.0,0.8583333333333333,1.1508546139744933
api_single_judge,mimo,fa,180,-1.5555555555555556,-1.5,1.92037037037037,1.826846488994446
api_single_judge,mimo,cc,180,-2.2407407407407405,-2.0,2.2777777777777777,1.2782162635220071
api_single_judge,mimo,lc,180,-1.2240740740740739,-0.5,1.7333333333333334,1.8904118080242494
api_single_judge,mimo,tf,180,-1.3898148148148146,-1.0,1.8768518518518518,1.900305758736748
api_single_judge,mimo,mq,180,-1.0333333333333334,-0.5833333333333333,1.8185185185185186,1.986171935450066
api_single_judge,mimo,risk,180,-0.20648148148148146,-0.33333333333333326,0.7824074074074073,1.0686207498068332
api_single_judge,openai,fa,180,-1.5333333333333334,-1.0,1.6722222222222223,1.6314149034543335
api_single_judge,openai,cc,180,-1.9851851851851852,-2.0,2.0518518518518523,1.381945399717065
api_single_judge,openai,lc,180,-0.5629629629629629,0.0,1.3425925925925926,1.6152358424322133
api_single_judge,openai,tf,180,-1.0509259259259258,-0.33333333333333304,1.6083333333333334,1.9069848758295196
api_single_judge,openai,mq,180,-0.9666666666666667,-0.6666666666666665,1.6629629629629632,1.8502604376548826
api_single_judge,openai,risk,180,1.0657407407407407,0.6666666666666669,1.4046296296296295,1.5244232683622405
api_single_judge,qwen,fa,180,-1.1388888888888888,-0.5,1.5629629629629629,1.7815611898338728
api_single_judge,qwen,cc,180,-2.062962962962963,-2.0,2.1222222222222222,1.35471170730821
api_single_judge,qwen,lc,180,-0.8018518518518517,0.0,1.6462962962962961,1.9976544974732893
api_single_judge,qwen,tf,180,-1.2509259259259258,-1.0,1.7435185185185185,1.857718077725286
api_single_judge,qwen,mq,180,-0.7222222222222222,0.0,1.7037037037037037,1.9978262550831816
api_single_judge,qwen,risk,180,0.8879629629629628,0.0,1.5379629629629628,1.8588315342537232
original_web_llm_mean,original_web_panel_mean,fa,180,0.47828703703703707,0.5,0.49016975308641975,0.44200617979866025
original_web_llm_mean,original_web_panel_mean,cc,180,0.19030864197530867,0.1499999999999999,0.49506172839506174,0.5949744767483783
